road_id,source,target,length_m,road_class,road_name,lanes,width_m,maxspeed_kmh,oneway,grid_cell_count,mean_elevation_m,min_elevation_m,max_elevation_m,elevation_range_m,elevation_gradient,mean_imperviousness,mean_infiltration_mm_hr,mean_flow_accumulation,max_flow_accumulation,mean_flow_direction,mean_twi,mean_slope_deg
R-001,10044201331,12243225438,31.35,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,True,4,2.42,1.76,3.06,1.3,0.0415,0.773,2.27,4.42,6.05,96.25,8.027,2.62
R-002,10044201331,13615156515,103.69,tertiary,BKC - CST Link Road,3,8.0,40,True,13,1.24,1.0,1.94,0.94,0.0091,0.784,2.16,42.0,89.07,83.69,9.776,1.88
R-003,10055232024,13616287392,9.75,residential,,2,6.0,30,False,2,0.33,0.26,0.39,0.13,0.0133,0.792,2.08,1.72,1.86,32.0,6.353,4.12
R-004,10055232024,13626183259,7.16,residential,,2,6.0,30,False,1,0.39,0.39,0.39,0.0,0.0,0.792,2.08,1.86,1.86,32.0,6.315,4.39
R-005,10055232024,13639959260,22.82,tertiary,,2,8.0,40,True,3,-0.38,-1.1,0.39,1.49,0.0653,0.799,2.01,9.65,18.71,24.0,7.277,3.92
R-006,10055232027,13626183259,90.39,residential,,2,6.0,30,False,12,2.24,0.39,3.39,3.0,0.0332,0.774,2.26,1.48,3.37,46.67,6.962,2.32
R-007,10091403656,13615172965,33.31,tertiary,,2,8.0,40,True,5,1.22,1.03,1.58,0.55,0.0165,0.784,2.16,90.91,112.42,32.0,11.209,1.1
R-008,10091403656,13616325515,6.09,tertiary_link,,1,6.0,30,False,1,1.58,1.58,1.58,0.0,0.0,0.781,2.19,59.7,59.7,32.0,9.615,1.48
R-009,10091403659,296853793,74.13,primary,Bandra Kurla Complex Road,3,14.0,50,True,11,8.65,7.62,9.67,2.05,0.0277,0.714,2.86,3.29,4.61,11.64,7.606,2.63
R-010,10091403662,13617040694,36.49,tertiary,,2,8.0,40,True,6,3.39,2.71,3.9,1.19,0.0326,0.764,2.36,1.16,1.57,12.0,6.815,2.34
