road_id,source,target,length_m,road_class,flood_susceptibility_score,risk_class,elevation_score,imperviousness_score,infiltration_score,flow_accumulation_score,twi_score,slope_score
R-001,10044201331,12243225438,31.35,trunk,0.6112,HIGH,0.8358,0.78,0.78,0.1805,0.3784,0.7817
R-002,10044201331,13615156515,103.69,tertiary,0.7433,HIGH,0.8715,0.8114,0.8114,0.5555,0.597,0.8433
R-003,10055232024,13616287392,9.75,residential,0.574,HIGH,0.8991,0.8343,0.8343,0.0557,0.1691,0.6567
R-004,10055232024,13626183259,7.16,residential,0.5725,HIGH,0.8973,0.8343,0.8343,0.0648,0.1644,0.6342
R-005,10055232024,13639959260,22.82,tertiary,0.6537,HIGH,0.9206,0.8543,0.8543,0.3028,0.2846,0.6733
R-006,10055232027,13626183259,90.39,residential,0.5675,HIGH,0.8412,0.7829,0.7829,0.0389,0.2452,0.8067
R-007,10091403656,13615172965,33.31,tertiary,0.8043,VERY_HIGH,0.8721,0.8114,0.8114,0.693,0.7761,0.9083
R-008,10091403656,13616325515,6.09,tertiary_link,0.751,VERY_HIGH,0.8612,0.8029,0.8029,0.6179,0.5769,0.8767
R-009,10091403659,296853793,74.13,primary,0.498,MODERATE,0.647,0.6114,0.6114,0.1382,0.3257,0.7808
R-010,10091403662,13617040694,36.49,tertiary,0.5426,HIGH,0.8064,0.7543,0.7543,0.0139,0.2269,0.805
R-011,10091403662,3193827831,7.59,residential,0.5406,HIGH,0.8006,0.7486,0.7486,0.0,0.2332,0.835
R-012,10091403664,10091403656,29.95,tertiary,0.7436,HIGH,0.85,0.7914,0.7914,0.6218,0.579,0.8542
R-013,10091403664,245666192,6.21,residential,0.768,VERY_HIGH,0.8436,0.7857,0.7857,0.6769,0.6958,0.845
R-014,10111287875,13618292025,47.89,residential,0.1573,LOW,0.2439,0.2543,0.2543,0.0148,0.0301,0.1208
R-015,10213907200,11027088421,342.73,unclassified,0.549,HIGH,0.7406,0.6943,0.6943,0.2097,0.2829,0.735
R-016,10245790327,10245790331,31.71,trunk,0.4702,MODERATE,0.6936,0.6543,0.6543,0.0,0.1817,0.7517
R-017,10245790331,13798210715,64.09,trunk,0.6129,HIGH,0.8112,0.7571,0.7571,0.4259,0.2791,0.5867
R-018,10245790331,13798244195,9.33,residential,0.4586,MODERATE,0.7052,0.6629,0.6629,0.0,0.1228,0.6708
R-019,10265662124,12406104883,82.88,trunk,0.5111,HIGH,0.7079,0.6657,0.6657,0.0276,0.2819,0.8867
R-020,10265662124,12406104885,13.21,residential,0.4981,MODERATE,0.7197,0.6771,0.6771,0.0367,0.1975,0.8017
R-021,10265662126,10265662124,147.7,trunk,0.6781,HIGH,0.8152,0.76,0.76,0.5889,0.3395,0.8033
R-022,10265662126,6428382636,15.66,residential,0.5818,HIGH,0.8139,0.76,0.76,0.0971,0.3259,0.8475
R-023,10265662174,622042581,86.75,trunk_link,0.5588,HIGH,0.7976,0.7457,0.7457,0.2605,0.2819,0.4392
R-024,10265662174,622042582,45.31,trunk,0.5235,HIGH,0.7755,0.7257,0.7257,0.2761,0.2432,0.2267
R-025,10265662175,10265662174,41.47,trunk,0.6355,HIGH,0.8082,0.7543,0.7543,0.4265,0.4221,0.6125
R-026,10265662175,12406085638,134.01,trunk_link,0.6298,HIGH,0.8215,0.7657,0.7657,0.3773,0.3689,0.6675
R-027,10279771623,10279771626,41.31,primary_link,0.5724,HIGH,0.8121,0.7571,0.7571,0.0862,0.3039,0.8217
R-028,10279771623,631507992,28.4,primary,0.5789,HIGH,0.8336,0.7771,0.7771,0.1152,0.2903,0.7358
R-029,10279771626,2897024777,70.02,tertiary,0.544,HIGH,0.7603,0.7114,0.7114,0.0045,0.3229,0.9358
R-030,10279771627,10279771631,54.54,primary_link,0.4217,MODERATE,0.6397,0.6057,0.6057,0.0105,0.1294,0.6025
R-031,10279771627,245666966,35.27,primary,0.4115,MODERATE,0.6267,0.5943,0.5943,0.0062,0.1224,0.5858
R-032,10279771631,631507969,76.02,secondary,0.4493,MODERATE,0.6548,0.6171,0.6171,0.0045,0.1804,0.7442
R-033,10292442915,13383144370,76.65,secondary,0.446,MODERATE,0.557,0.5314,0.5314,0.0563,0.3257,0.885
R-034,10294725029,12350425034,184.13,tertiary,0.5356,HIGH,0.7818,0.7314,0.7314,0.0418,0.2495,0.775
R-035,10294725029,13638535682,24.64,residential,0.5114,HIGH,0.7715,0.7229,0.7229,0.0,0.1831,0.7658
R-036,10316548327,6428793085,65.39,residential,0.5619,HIGH,0.6948,0.6543,0.6543,0.2955,0.4062,0.7392
R-037,10384248274,10384248275,22.33,trunk_link,0.5804,HIGH,0.7564,0.7086,0.7086,0.3407,0.2314,0.7825
R-038,10384248274,2897024866,30.44,trunk,0.4874,MODERATE,0.737,0.6914,0.6914,0.0221,0.1737,0.675
R-039,10384248275,10384248274,22.33,trunk_link,0.5804,HIGH,0.7564,0.7086,0.7086,0.3407,0.2314,0.7825
R-040,10384248275,12406104884,257.8,trunk,0.6008,HIGH,0.7382,0.6943,0.6943,0.3257,0.3814,0.8783
R-041,10564373799,10564373800,16.79,residential,0.5525,HIGH,0.7382,0.6914,0.6914,0.2045,0.3444,0.7033
R-042,10564373799,245667361,48.5,trunk,0.5316,HIGH,0.7648,0.7171,0.7171,0.1737,0.3067,0.4692
R-043,10564373800,10564373799,16.79,residential,0.5525,HIGH,0.7382,0.6914,0.6914,0.2045,0.3444,0.7033
R-044,10653501374,10653501375,64.59,residential,0.356,MODERATE,0.5427,0.52,0.52,0.0164,0.0952,0.4792
R-045,10653501374,245665910,119.23,residential,0.6197,HIGH,0.7894,0.7371,0.7371,0.3485,0.3962,0.7475
R-046,10653501374,473698890,69.48,residential,0.3567,MODERATE,0.5233,0.5029,0.5029,0.0213,0.1208,0.5367
R-047,10653501375,10653501374,64.59,residential,0.356,MODERATE,0.5427,0.52,0.52,0.0164,0.0952,0.4792
R-048,10653501375,10696472308,7.52,residential,0.3508,MODERATE,0.5088,0.4886,0.4886,0.0045,0.1198,0.5917
R-049,10653501375,245666351,155.72,residential,0.4554,MODERATE,0.6548,0.6171,0.6171,0.0284,0.2271,0.6867
R-050,10653501375,473698890,29.16,residential,0.3364,MODERATE,0.4594,0.4457,0.4457,0.0,0.1416,0.6725
R-051,10696472306,13638535670,39.79,residential,0.544,HIGH,0.7436,0.6971,0.6971,0.0433,0.3684,0.8742
R-052,10696472306,13638535675,29.79,residential,0.5401,HIGH,0.7439,0.6971,0.6971,0.0923,0.3303,0.7933
R-053,10696472306,245666367,71.59,residential,0.61,HIGH,0.77,0.72,0.72,0.2605,0.4386,0.8608
R-054,10696472307,10696472308,48.33,residential,0.3672,MODERATE,0.5488,0.5257,0.5257,0.0164,0.1145,0.53
R-055,10696472307,13638535675,33.56,residential,0.4436,MODERATE,0.6648,0.6286,0.6286,0.0666,0.1573,0.5367
R-056,10696472307,245666323,69.45,residential,0.4726,MODERATE,0.6682,0.6314,0.6314,0.0918,0.2231,0.6617
R-057,10696472308,10653501375,7.52,residential,0.3508,MODERATE,0.5088,0.4886,0.4886,0.0045,0.1198,0.5917
R-058,10696472308,10696472307,48.33,residential,0.3672,MODERATE,0.5488,0.5257,0.5257,0.0164,0.1145,0.53
R-059,10696472308,13638535652,64.73,residential,0.3684,MODERATE,0.5639,0.5371,0.5371,0.0164,0.1015,0.4908
R-060,10696472308,245666260,71.83,residential,0.4326,MODERATE,0.6106,0.58,0.58,0.0173,0.1983,0.7425
R-061,10696472309,13638535652,3.19,residential,0.4442,MODERATE,0.6903,0.6514,0.6514,0.0284,0.1378,0.5183
R-062,10696472347,10696472356,48.98,residential,0.7019,HIGH,0.8279,0.7714,0.7714,0.4069,0.699,0.8008
R-063,10696472347,13638535683,64.81,residential,0.5435,HIGH,0.7609,0.7114,0.7114,0.1531,0.2762,0.7025
R-064,10696472347,245666482,74.32,residential,0.7583,VERY_HIGH,0.8379,0.78,0.78,0.4561,0.9364,0.86
R-065,10696472349,10696472350,66.34,residential,0.467,MODERATE,0.6667,0.6286,0.6286,0.0088,0.2134,0.7992
R-066,10696472349,13638535686,74.14,residential,0.5482,HIGH,0.7555,0.7086,0.7086,0.1615,0.273,0.7583
R-067,10696472349,2439333822,119.0,residential,0.5907,HIGH,0.7697,0.72,0.72,0.1871,0.41,0.8583
R-068,10696472349,245666190,28.07,residential,0.488,MODERATE,0.7112,0.6686,0.6686,0.0292,0.2023,0.7558
R-069,10696472350,10696472349,66.34,residential,0.467,MODERATE,0.6667,0.6286,0.6286,0.0088,0.2134,0.7992
R-070,10696472350,13638535683,64.98,residential,0.4788,MODERATE,0.6755,0.6371,0.6371,0.0229,0.2356,0.8083
R-071,10696472350,13638535685,72.75,residential,0.5134,HIGH,0.7279,0.6829,0.6829,0.0955,0.2508,0.7208
R-072,10696472350,245666260,30.74,residential,0.4788,MODERATE,0.6494,0.6143,0.6143,0.0105,0.2837,0.8925
R-073,10696472351,13638535681,16.07,residential,0.5545,HIGH,0.7755,0.7257,0.7257,0.0716,0.314,0.84
R-074,10696472356,10696472347,48.98,residential,0.7019,HIGH,0.8279,0.7714,0.7714,0.4069,0.699,0.8008
R-075,10696472356,13638535681,14.31,residential,0.5801,HIGH,0.7939,0.7429,0.7429,0.1792,0.3156,0.7808
R-076,10696472356,245666446,29.73,residential,0.5907,HIGH,0.7927,0.74,0.74,0.2151,0.3384,0.7933
R-077,10724726259,11047568171,11.43,tertiary,0.603,HIGH,0.8442,0.7857,0.7857,0.036,0.3839,0.9442
R-078,10724726259,13617040682,6.53,residential,0.6116,HIGH,0.8415,0.7829,0.7829,0.0698,0.4081,0.9408
R-079,10724781030,13617040686,34.9,tertiary,0.8441,VERY_HIGH,0.9227,0.8543,0.8543,0.8807,0.662,0.8508
R-080,10724781030,245666801,7.12,tertiary,0.8067,VERY_HIGH,0.9136,0.8457,0.8457,0.8395,0.4992,0.8525
R-081,10772904744,2804481649,69.76,trunk,,UNKNOWN,,,,,,
R-082,10840042416,13619396536,18.54,residential,,UNKNOWN,,,,,,
R-083,10923438752,622039354,34.51,residential,0.654,HIGH,0.8297,0.7743,0.7743,0.4273,0.3658,0.7675
R-084,10923690270,10923690281,153.14,residential,,UNKNOWN,,,,,,
R-085,10923690270,6554236451,93.08,residential,,UNKNOWN,,,,,,
R-086,10923690270,6554236455,37.36,residential,,UNKNOWN,,,,,,
R-087,10923690281,10923690270,153.14,residential,,UNKNOWN,,,,,,
R-088,10923690283,10923690287,29.89,residential,,UNKNOWN,,,,,,
R-089,10923690283,6554236429,13.34,residential,,UNKNOWN,,,,,,
R-090,10923690283,6554236451,112.47,residential,,UNKNOWN,,,,,,
R-091,10923690287,10923690283,29.89,residential,,UNKNOWN,,,,,,
R-092,10923690293,13617292726,6.68,residential,,UNKNOWN,,,,,,
R-093,10923690293,13617292729,36.91,residential,,UNKNOWN,,,,,,
R-094,10923690293,2244637068,48.3,residential,,UNKNOWN,,,,,,
R-095,10924156281,9684698224,68.54,residential,,UNKNOWN,,,,,,
R-096,10924277272,10924277275,31.57,residential,0.5666,HIGH,0.7909,0.74,0.7371,0.1488,0.2755,0.7875
R-097,10924277272,12756633089,92.32,residential,0.462,MODERATE,0.7158,0.6714,0.6714,0.0,0.1309,0.6425
R-098,10924277272,12756633089,156.13,residential,0.5697,HIGH,0.8094,0.7543,0.7543,0.2602,0.1949,0.6258
R-099,10924277275,10924277272,31.57,residential,0.5666,HIGH,0.7909,0.74,0.7371,0.1488,0.2755,0.7875
R-100,10924277275,10924277275,339.19,residential,0.6545,HIGH,0.8276,0.7714,0.7714,0.2471,0.545,0.8783
R-101,10924277275,10924277275,339.19,residential,0.6545,HIGH,0.8276,0.7714,0.7714,0.2471,0.545,0.8783
R-102,10925931739,11046205760,18.27,residential,0.5158,HIGH,0.7627,0.7143,0.7143,0.0253,0.2084,0.7692
R-103,10925931739,13619485526,8.68,residential,0.5134,HIGH,0.7624,0.7143,0.7143,0.0173,0.1966,0.7792
R-104,10925931739,2244797686,51.06,residential,0.5478,HIGH,0.8136,0.76,0.76,0.0563,0.235,0.7258
R-105,10925931740,13619485519,103.44,residential,0.5331,HIGH,0.7648,0.7171,0.7171,0.059,0.2525,0.795
R-106,10925931740,13619485519,10.53,residential,0.5188,HIGH,0.7642,0.7143,0.7143,0.0229,0.211,0.7975
R-107,10925931740,13619485526,12.82,residential,0.5106,HIGH,0.7567,0.7086,0.7086,0.0148,0.1989,0.7842
R-108,10925931781,245667933,125.58,residential,0.5604,HIGH,0.7794,0.7286,0.7286,0.1912,0.2863,0.6833
R-109,10925931781,245668039,8.27,secondary,0.6739,HIGH,0.8394,0.7829,0.7829,0.2969,0.5751,0.8633
R-110,10925931781,4342420515,46.46,secondary,0.5687,HIGH,0.7991,0.7457,0.7457,0.1659,0.3206,0.6658
R-111,10925941296,10925941300,34.66,residential,0.5412,HIGH,0.787,0.7343,0.7343,0.0315,0.2519,0.8275
R-112,10925941300,10925941296,34.66,residential,0.5412,HIGH,0.787,0.7343,0.7343,0.0315,0.2519,0.8275
R-113,10925941300,13619412997,44.77,residential,0.5378,HIGH,0.7782,0.7286,0.7286,0.0353,0.2569,0.8158
R-114,10925941300,13622503093,33.46,residential,0.5821,HIGH,0.8042,0.7486,0.7486,0.0992,0.3659,0.845
R-115,10925943006,13619500841,47.23,residential,,UNKNOWN,,,,,,
R-116,10925943006,13622503093,9.08,residential,,UNKNOWN,,,,,,
R-117,10925943006,13622528191,15.5,residential,,UNKNOWN,,,,,,
R-118,11027088421,10213907200,342.73,unclassified,0.549,HIGH,0.7406,0.6943,0.6943,0.2097,0.2829,0.735
R-119,11027088421,2897024682,481.95,unclassified,0.5826,HIGH,0.6991,0.6571,0.6571,0.3108,0.4361,0.8525
R-120,11045926287,7404711443,269.44,residential,0.4601,MODERATE,0.6382,0.6029,0.6029,0.0345,0.2508,0.7692
R-121,11046194844,11046194845,19.74,residential,0.6331,HIGH,0.8994,0.8371,0.8371,0.2089,0.4566,0.5
R-122,11046194845,11046194844,19.74,residential,0.6327,HIGH,0.8994,0.8371,0.8343,0.2089,0.4566,0.5
R-123,11046194845,13619396529,29.14,residential,0.6163,HIGH,0.8912,0.8286,0.8286,0.1934,0.396,0.5
R-124,11046194845,2244797686,23.64,residential,0.6193,HIGH,0.8782,0.8171,0.8171,0.1596,0.3442,0.7408
R-125,11046205758,11046205759,24.89,residential,0.4988,MODERATE,0.7273,0.6829,0.6829,0.0062,0.2348,0.7783
R-126,11046205759,11046205758,24.89,residential,0.4988,MODERATE,0.7273,0.6829,0.6829,0.0062,0.2348,0.7783
R-127,11046205759,11046205760,20.9,residential,0.5085,HIGH,0.7497,0.7029,0.7029,0.0131,0.2134,0.7792
R-128,11046205759,13622492455,2.71,residential,0.5071,HIGH,0.7433,0.6971,0.6971,0.0173,0.2211,0.7783
R-129,11046205760,10925931739,18.27,residential,0.5158,HIGH,0.7627,0.7143,0.7143,0.0253,0.2084,0.7692
R-130,11046205760,11046205759,20.9,residential,0.5085,HIGH,0.7497,0.7029,0.7029,0.0131,0.2134,0.7792
R-131,11046205760,13622492459,27.53,residential,0.5173,HIGH,0.7685,0.72,0.72,0.0315,0.2061,0.7442
R-132,11047568171,13617040683,46.74,tertiary,0.6317,HIGH,0.847,0.7886,0.7886,0.0292,0.5731,0.945
R-133,11047568171,13626183257,126.95,residential,0.6199,HIGH,0.8379,0.78,0.78,0.0537,0.5094,0.9217
R-134,11047597219,13619318851,57.84,residential,0.4893,MODERATE,0.7442,0.6971,0.6971,0.0616,0.1734,0.5817
R-135,11047597219,13619318852,25.35,residential,0.4918,MODERATE,0.7427,0.6971,0.6971,0.008,0.1684,0.7242
R-136,11047597219,13619318864,14.89,residential,0.5185,HIGH,0.7858,0.7343,0.7343,0.0583,0.1866,0.6467
R-137,11054614468,11054614468,200.97,residential,0.5107,HIGH,0.6976,0.6571,0.6571,0.144,0.2916,0.6867
R-138,11054614468,11054614468,200.97,residential,0.5107,HIGH,0.6976,0.6571,0.6571,0.144,0.2916,0.6867
R-139,11054614468,3743617940,13.33,residential,0.4753,MODERATE,0.6667,0.6286,0.6286,0.0,0.245,0.8525
R-140,11054646813,11054646825,16.11,residential,0.4127,MODERATE,0.6367,0.6029,0.6029,0.0,0.1091,0.58
R-141,11054646813,2244637012,57.63,residential,0.4587,MODERATE,0.7209,0.6771,0.6771,0.1018,0.1376,0.3658
R-142,11054646813,622060792,14.23,residential,0.423,MODERATE,0.6506,0.6143,0.6143,0.0,0.1212,0.5967
R-143,11054646825,11054646813,16.11,residential,0.4127,MODERATE,0.6367,0.6029,0.6029,0.0,0.1091,0.58
R-144,11054646825,11054646825,107.16,residential,0.4011,MODERATE,0.5976,0.5686,0.5686,0.0,0.1386,0.6183
R-145,11054646825,11054646825,107.16,residential,0.4011,MODERATE,0.5976,0.5686,0.5686,0.0,0.1386,0.6183
R-146,11054673420,2244637056,46.64,residential,,UNKNOWN,,,,,,
R-147,11271580571,10091403659,6.71,primary,0.5246,HIGH,0.6755,0.6371,0.6371,0.152,0.3619,0.8183
R-148,11271580571,13617067002,61.72,tertiary,0.5112,HIGH,0.6973,0.6571,0.6571,0.1162,0.2749,0.7733
R-149,11368130746,7404711477,113.44,residential,0.5661,HIGH,0.7097,0.6657,0.6657,0.0404,0.6191,0.9025
R-150,11976374939,13622308166,65.09,tertiary,0.6464,HIGH,0.75,0.7029,0.7029,0.4167,0.5434,0.855
R-151,11976374939,245666426,36.9,tertiary,0.6223,HIGH,0.7473,0.7,0.7,0.3599,0.4717,0.8508
R-152,12079741513,2897024615,17.64,secondary,0.6061,HIGH,0.6642,0.6257,0.6257,0.3934,0.5942,0.8642
R-153,12079741513,6552594957,398.69,primary,0.4721,MODERATE,0.5467,0.5229,0.5229,0.2622,0.3225,0.7892
R-154,12084454212,631525434,42.28,tertiary,0.4912,MODERATE,0.6712,0.6314,0.6314,0.0114,0.2945,0.895
