road_id,grid_row,grid_col,road_length_m,road_class,road_name,lanes,width_m,maxspeed_kmh,lanes_source,width_source,speed_source,elevation_m,imperviousness,infiltration_mm_hr,flow_accumulation,flow_direction,twi,slope_deg
R-001,126,122,31.35,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,osm,estimated,estimated,1.76,0.779,2.21,6.05,128,8.458,2.24
R-001,127,121,31.35,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,osm,estimated,estimated,2.13,0.775,2.25,4.68,128,8.16,2.66
R-001,128,121,31.35,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,osm,estimated,estimated,2.71,0.77,2.3,3.95,128,7.914,2.69
R-001,128,120,31.35,trunk,Santa Cruz – Chembur Link Road,3,18.0,60,osm,estimated,estimated,3.06,0.767,2.33,3.02,1,7.575,2.87
R-002,126,122,103.69,tertiary,BKC - CST Link Road,3,8.0,40,osm,estimated,estimated,1.76,0.779,2.21,6.05,128,8.458,2.24
R-002,125,122,103.69,tertiary,BKC - CST Link Road,3,8.0,40,osm,estimated,estimated,1.44,0.782,2.18,7.43,128,8.826,2.01
R-002,124,122,103.69,tertiary,BKC - CST Link Road,3,8.0,40,osm,estimated,estimated,1.14,0.785,2.15,12.39,128,9.276,1.75
R-002,124,121,103.69,tertiary,BKC - CST Link Road,3,8.0,40,osm,estimated,estimated,1.18,0.784,2.16,11.53,128,9.147,2.11
R-002,123,121,103.69,tertiary,BKC - CST Link Road,3,8.0,40,osm,estimated,estimated,1.12,0.785,2.15,37.98,128,9.986,1.72
R-002,122,121,103.69,tertiary,BKC - CST Link Road,3,8.0,40,osm,estimated,estimated,1.06,0.785,2.15,64.43,64,10.825,1.34
R-002,121,121,103.69,tertiary,BKC - CST Link Road,3,8.0,40,osm,estimated,estimated,1.0,0.786,2.14,89.07,64,11.598,0.98
R-002,120,121,103.69,tertiary,BKC - CST Link Road,3,8.0,40,osm,estimated,estimated,1.0,0.786,2.14,68.66,64,10.744,1.49
R-002,119,121,103.69,tertiary,BKC - CST Link Road,3,8.0,40,osm,estimated,estimated,1.0,0.786,2.14,48.24,32,9.89,2.0
R-002,119,120,103.69,tertiary,BKC - CST Link Road,3,8.0,40,osm,estimated,estimated,1.0,0.786,2.14,62.21,64,10.224,2.09
R-002,118,120,103.69,tertiary,BKC - CST Link Road,3,8.0,40,osm,estimated,estimated,1.0,0.786,2.14,66.32,64,10.364,2.2
R-002,117,120,103.69,tertiary,BKC - CST Link Road,3,8.0,40,osm,estimated,estimated,1.46,0.782,2.18,46.33,64,9.386,2.25
