rank,road_id,source,target,length_m,road_class,hotspot_score,hotspot_class,peak_flood_depth_m,mean_flood_depth_m,peak_combined_risk,mean_combined_risk,risk_duration,high_risk_duration,very_high_risk_duration,fraction_of_time_high_risk,first_high_risk_timestamp,first_critical_timestamp,peak_risk_timestamp,peak_flood_depth_timestamp,number_of_timestamps
1,R-301,13617040685,13617040686,7.84,tertiary_link,0.7959,CRITICAL,0.405,0.203,0.8534,0.6106,6,4,1,0.667,T+120min,T+90min,T+90min,T+90min,6
2,R-303,13617040686,13617040685,7.84,tertiary_link,0.7959,CRITICAL,0.405,0.203,0.8534,0.6106,6,4,1,0.667,T+120min,T+90min,T+90min,T+90min,6
3,R-1184,2897024748,6590384792,229.76,tertiary,0.7941,CRITICAL,0.475,0.183,0.8631,0.5785,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
4,R-860,13798210737,13798210738,51.18,residential,0.7933,CRITICAL,0.468,0.221,0.8686,0.5876,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
5,R-861,13798210738,13798210737,51.18,residential,0.7933,CRITICAL,0.468,0.221,0.8686,0.5876,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
6,R-302,13617040686,12313982253,16.49,tertiary,0.7928,CRITICAL,0.405,0.201,0.8473,0.6045,6,4,1,0.667,T+120min,T+90min,T+90min,T+90min,6
7,R-1427,6926279716,13798210738,18.95,residential,0.7921,CRITICAL,0.468,0.222,0.8662,0.5852,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
8,R-862,13798210738,6926279716,18.95,residential,0.7921,CRITICAL,0.468,0.222,0.8662,0.5852,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
9,R-1432,6926279721,13798210738,8.99,residential,0.7911,CRITICAL,0.468,0.231,0.8641,0.5831,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
10,R-863,13798210738,6926279721,8.99,residential,0.7911,CRITICAL,0.468,0.231,0.8641,0.5831,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
11,R-1257,5896564331,2897024751,238.6,tertiary,0.7908,CRITICAL,0.475,0.179,0.8566,0.5714,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
12,R-166,12313982254,13617040685,16.07,tertiary,0.789,CRITICAL,0.405,0.196,0.8397,0.5969,6,4,1,0.667,T+120min,T+90min,T+90min,T+90min,6
13,R-300,13617040685,10724781030,33.11,tertiary,0.7878,CRITICAL,0.405,0.199,0.8373,0.5945,6,4,1,0.667,T+120min,T+90min,T+90min,T+90min,6
14,R-1426,6926279716,13798210730,56.49,residential,0.7813,CRITICAL,0.464,0.209,0.8486,0.5702,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
15,R-854,13798210730,6926279716,56.49,residential,0.7813,CRITICAL,0.464,0.209,0.8486,0.5702,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
16,R-849,13798210715,6926279721,49.99,trunk,0.7782,CRITICAL,0.457,0.223,0.8494,0.575,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
17,R-1431,6926279721,10772904744,52.24,trunk,0.7747,CRITICAL,0.457,0.228,0.8425,0.5681,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
18,R-848,13798210715,13798210737,8.15,residential,0.7622,CRITICAL,0.439,0.211,0.8353,0.5721,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
19,R-858,13798210737,13798210715,8.15,residential,0.7622,CRITICAL,0.439,0.211,0.8353,0.5721,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
20,R-1230,4342420490,7404711408,92.78,residential,0.7609,CRITICAL,0.457,0.172,0.8148,0.5406,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
21,R-1457,7404711408,4342420490,92.78,residential,0.7609,CRITICAL,0.457,0.172,0.8148,0.5406,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
22,R-1024,245666901,13616287392,72.28,tertiary,0.7588,CRITICAL,0.443,0.211,0.8245,0.5587,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
23,R-736,13626183249,13626183260,6.93,residential,0.7546,CRITICAL,0.433,0.214,0.8262,0.5662,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
24,R-834,13639959260,13626183249,18.8,tertiary,0.7513,CRITICAL,0.433,0.212,0.8196,0.5596,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
25,R-737,13626183249,245666901,29.88,tertiary,0.7501,CRITICAL,0.433,0.213,0.8172,0.5572,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
26,R-746,13626183260,13639959261,19.36,residential,0.7412,HIGH,0.425,0.209,0.8074,0.5526,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
27,R-837,13639959261,13626183260,19.36,residential,0.7412,HIGH,0.425,0.209,0.8074,0.5526,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
28,R-745,13626183260,13626183250,4.87,residential,0.7405,HIGH,0.422,0.209,0.8091,0.5557,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
29,R-079,10724781030,13617040686,34.9,tertiary,0.7393,HIGH,0.405,0.197,0.8236,0.5808,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
30,R-1008,245666651,245666881,141.24,residential,0.7366,HIGH,0.436,0.195,0.7872,0.5256,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
31,R-1020,245666881,245666651,141.24,residential,0.7366,HIGH,0.436,0.195,0.7872,0.5256,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
32,R-1434,6926279727,6926279727,276.37,residential,0.7356,HIGH,0.438,0.211,0.7833,0.5205,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
33,R-1435,6926279727,6926279727,276.37,residential,0.7356,HIGH,0.438,0.211,0.7833,0.5205,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
34,R-192,12406104882,10772904744,1804.27,trunk,0.732,HIGH,0.446,0.124,0.768,0.5002,5,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
35,R-017,10245790331,13798210715,64.09,trunk,0.7305,HIGH,0.439,0.148,0.772,0.5088,5,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
36,R-1026,245666901,13638081807,20.6,tertiary,0.7302,HIGH,0.419,0.208,0.7914,0.54,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
37,R-758,13638081807,245666901,20.6,tertiary,0.7302,HIGH,0.419,0.208,0.7914,0.54,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
38,R-162,12313982253,12313982254,8.92,residential,0.729,HIGH,0.395,0.19,0.8131,0.5763,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
39,R-165,12313982254,12313982253,8.92,residential,0.729,HIGH,0.395,0.19,0.8131,0.5763,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
40,R-606,13619536866,13619536860,78.51,residential,0.7284,HIGH,0.405,0.192,0.8018,0.5588,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
41,R-1012,245666801,7372035744,85.2,tertiary,0.726,HIGH,0.4,0.184,0.802,0.5618,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
42,R-1451,7372035744,245666801,85.2,tertiary,0.726,HIGH,0.4,0.184,0.802,0.5618,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
43,R-835,13639959260,13639959261,7.09,residential,0.7224,HIGH,0.414,0.205,0.7807,0.5321,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
44,R-838,13639959261,13639959260,7.09,residential,0.7224,HIGH,0.414,0.205,0.7807,0.5321,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
45,R-163,12313982253,13617040688,39.95,tertiary,0.7194,HIGH,0.395,0.183,0.7938,0.557,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
46,R-1027,245666901,245667237,238.41,residential,0.716,HIGH,0.427,0.181,0.7551,0.4989,5,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
47,R-1030,245667237,245666901,238.41,residential,0.716,HIGH,0.427,0.181,0.7551,0.4989,5,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
48,R-335,13617092832,13617550909,156.58,residential,0.7158,HIGH,0.408,0.186,0.7737,0.5293,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
49,R-380,13617550909,13617092832,156.58,residential,0.7158,HIGH,0.408,0.186,0.7737,0.5293,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
50,R-757,13638081807,13638081817,38.09,tertiary,0.7156,HIGH,0.411,0.199,0.7703,0.5235,6,3,1,0.5,T+120min,T+90min,T+90min,T+90min,6
